subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1
0,0,3808.0,0.0,4.0,2.0,0.6530081,0.34699187
0,1,1913.0,0.0,3.0,2.0,0.58312446,0.4168755
0,2,1121.0,1.0,5.0,10.0,0.0,1.0
0,3,2051.0,1.0,6.0,6.0,0.31930104,0.680699
0,4,1655.0,1.0,6.0,7.0,0.2248062,0.7751938
0,5,2504.0,0.0,6.0,2.0,0.576572,0.423428
0,6,2002.0,0.0,3.0,3.0,0.29798356,0.7020164
0,8,1065.0,1.0,5.0,8.0,0.0,1.0
0,9,1209.0,0.0,6.0,8.0,0.038535647,0.96146435
0,11,1439.0,1.0,2.0,6.0,0.2793296,0.7206704
0,12,5744.0,1.0,9.0,9.0,0.3802958,0.6197042
0,13,1270.0,1.0,1.0,5.0,0.0,1.0
0,14,1452.0,0.0,4.0,3.0,0.5835655,0.41643453
0,15,3525.0,1.0,2.0,2.0,0.42883548,0.5711645
0,16,3439.0,0.0,4.0,3.0,0.4309919,0.5690081
0,17,3582.0,0.0,1.0,2.0,0.61169416,0.38830584
0,18,2023.0,0.0,6.0,8.0,0.49366143,0.50633854
0,19,1727.0,1.0,2.0,5.0,0.33426183,0.66573817
0,20,1368.0,0.0,8.0,3.0,0.13989638,0.8601036
0,21,1568.0,0.0,10.0,5.0,0.4387255,0.5612745
0,22,1697.0,1.0,2.0,4.0,0.46057692,0.53942305
0,23,1595.0,1.0,8.0,7.0,0.63061225,0.36938775
0,24,2701.0,0.0,3.0,3.0,0.55795574,0.44204426
0,25,1471.0,1.0,2.0,7.0,0.39950064,0.6004994
0,26,2055.0,1.0,4.0,7.0,0.3998665,0.60013354
0,27,1303.0,1.0,4.0,9.0,0.97357994,0.02642008
0,28,1304.0,1.0,3.0,2.0,0.0,1.0
0,29,1581.0,0.0,6.0,5.0,0.8204614,0.17953862
0,30,7866.0,0.0,3.0,2.0,0.4568833,0.5431167
0,31,1291.0,0.0,10.0,5.0,0.43695652,0.5630435
0,32,1433.0,0.0,5.0,1.0,0.46084723,0.53915274
0,33,1250.0,0.0,9.0,6.0,0.0,1.0
0,34,1409.0,1.0,6.0,6.0,0.10584958,0.89415044
0,35,1342.0,1.0,10.0,9.0,0.18154311,0.8184569
0,36,1363.0,1.0,5.0,2.0,0.2020202,0.7979798
0,37,2243.0,0.0,4.0,3.0,0.46235883,0.53764117
0,38,1288.0,1.0,3.0,4.0,1.0,0.0
0,39,1112.0,0.0,7.0,2.0,1.0,0.0
0,40,1538.0,1.0,5.0,8.0,0.47093597,0.52906406
0,41,807.0,0.0,10.0,5.0,0.0,1.0
0,42,1117.0,0.0,7.0,2.0,0.12526096,0.87473905
0,43,4096.0,0.0,4.0,3.0,0.42938173,0.5706183
0,44,1119.0,0.0,6.0,2.0,0.28801432,0.7119857
0,45,1970.0,1.0,4.0,7.0,0.34375,0.65625
0,46,1074.0,1.0,3.0,6.0,0.0,1.0
0,47,1668.0,0.0,9.0,4.0,0.27177334,0.72822666
0,48,2089.0,1.0,1.0,3.0,0.17599411,0.8240059
0,49,2241.0,1.0,2.0,7.0,0.78270346,0.21729651
0,50,937.0,1.0,3.0,7.0,0.0,1.0
0,51,1251.0,0.0,6.0,8.0,0.2993311,0.7006689
0,52,6836.0,0.0,8.0,6.0,0.58544457,0.41455543
0,53,1125.0,1.0,1.0,3.0,0.0,1.0
0,54,801.0,0.0,9.0,4.0,0.0,1.0
0,55,975.0,1.0,1.0,3.0,0.0,1.0
