subject,trial,rt,choice,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2
0,0,1782,1,1,7,3,0.12444046553267682,0.7323187108325873,0.1432408236347359
0,1,1063,1,7,3,2,0.22602739726027396,0.365296803652968,0.408675799086758
0,2,1171,2,3,1,2,0.3007518796992481,0.0,0.6992481203007519
0,3,1368,0,3,1,2,0.728629579375848,0.0,0.27137042062415195
0,4,1476,0,6,1,3,0.49921752738654146,0.25039123630672927,0.25039123630672927
0,5,1394,2,3,1,2,0.34214002642007924,0.2628797886393659,0.3949801849405548
0,6,1482,2,3,1,7,0.2126068376068376,0.38461538461538464,0.4027777777777778
0,7,1419,2,1,3,7,0.23411371237458195,0.431438127090301,0.33444816053511706
0,8,1393,2,1,2,7,0.3320964749536178,0.3339517625231911,0.3339517625231911
0,9,1450,1,1,2,3,0.12327044025157233,0.7018867924528301,0.17484276729559747
0,10,1341,2,3,1,6,0.20648967551622419,0.41002949852507375,0.3834808259587021
0,11,1189,1,3,7,1,0.3706896551724138,0.34339080459770116,0.2859195402298851
0,12,1274,1,1,6,2,0.48141263940520446,0.5185873605947955,0.0
0,13,1437,1,2,3,1,0.48717948717948717,0.19413919413919414,0.31868131868131866
0,14,864,1,1,3,6,0.0,0.0,1.0
0,15,950,2,1,3,6,0.0,0.6086175942549371,0.39138240574506283
0,16,1183,2,3,1,6,0.36322188449848025,0.27203647416413373,0.364741641337386
0,17,1408,0,3,1,2,0.4414976599063963,0.31045241809672386,0.24804992199687986
0,18,1047,0,3,6,1,0.35943775100401604,0.28112449799196787,0.35943775100401604
0,19,993,2,2,1,3,0.4631956912028725,0.17953321364452424,0.35727109515260325
0,20,1077,0,7,3,1,0.6132686084142395,0.38673139158576053,0.0
0,21,1084,1,1,7,3,0.3977635782747604,0.2523961661341853,0.3498402555910543
0,22,1854,0,3,1,2,0.370817843866171,0.20353159851301114,0.4256505576208178
0,23,1446,2,3,7,6,0.28622754491017965,0.45269461077844314,0.26107784431137726
0,24,1624,2,2,1,3,0.3865450399087799,0.0,0.61345496009122
0,25,1302,2,3,1,7,0.18973747016706444,0.38066825775656327,0.4295942720763723
0,26,1146,0,6,2,3,0.6992366412213741,0.0,0.300763358778626
0,27,1573,2,6,1,7,0.2357563850687623,0.412573673870334,0.3516699410609037
0,28,1425,1,3,2,1,0.36642156862745096,0.4387254901960784,0.1948529411764706
0,29,1467,1,3,7,1,0.23775388291517324,0.2855436081242533,0.4767025089605735
0,30,1314,0,6,1,3,0.30848329048843187,0.487146529562982,0.2043701799485861
0,31,961,1,2,7,1,0.3076923076923077,0.0,0.6923076923076923
0,32,1350,1,3,2,1,0.46971935007385524,0.2658788774002954,0.26440177252584934
0,33,1547,0,3,2,1,0.44269870609981515,0.41035120147874304,0.14695009242144177
0,34,938,1,3,6,1,0.0,0.5200803212851406,0.4799196787148594
0,35,1498,1,1,3,2,0.23614775725593667,0.3944591029023747,0.36939313984168864
0,36,1834,0,3,2,1,0.41828478964401294,0.4684466019417476,0.11326860841423948
0,37,1521,1,2,3,1,0.3452502553626149,0.41062308478038817,0.24412665985699694
0,38,1409,1,3,2,1,0.27581863979848864,0.473551637279597,0.2506297229219144
0,39,2056,0,2,1,3,0.5152439024390244,0.1364329268292683,0.3483231707317073
0,40,1639,2,3,2,1,0.2542517006802721,0.2542517006802721,0.4914965986394558
0,41,1336,2,1,2,7,0.0,0.341688654353562,0.658311345646438
0,42,1045,1,1,7,3,0.5016778523489933,0.2651006711409396,0.2332214765100671
0,43,1460,0,2,1,3,0.3106332138590203,0.26045400238948624,0.42891278375149344
0,44,892,1,1,6,3,0.5571030640668524,0.0,0.4428969359331476
0,45,887,2,2,1,7,0.284688995215311,0.0,0.715311004784689
